Position;Mean_Q1;Mean_Q2;Mean_Q3;Mean_Q4;Mean_MT1;Mean_MT2;Mean_Game;CV_Q1;CV_Q2;CV_Q3;CV_Q4;CV_MT1;CV_MT2;CV_Game;Max_Q1;Max_Q2;Max_Q3;Max_Q4;Max_MT1;Max_MT2;Max_Game;ApEn_Q1;ApEn_Q2;ApEn_Q3;ApEn_Q4;ApEn_MT1;ApEn_MT2;ApEn_Game;SampEn_Q1;SampEn_Q2;SampEn_Q3;SampEn_Q4;SampEn_MT1;SampEn_MT2;SampEn_Game;H2_Q1;H2_Q2;H2_Q3;H2_Q4;H2_MT1;H2_MT2;H2_Game;Frac_Max_Q1;Frac_Max_Q2;Frac_Max_Q3;Frac_Max_Q4;Frac_Max_MT1;Frac_Max_MT2;Frac_Max_Game;Frac_Peak_Q1;Frac_Peak_Q2;Frac_Peak_Q3;Frac_Peak_Q4;Frac_Peak_MT1;Frac_Peak_MT2;Frac_Peak_Game
DL;5.938733421;6.403982362;5.915145041;5.253197051;6.171357892;5.584171046;5.875238021;83.103526;71.6280329;71.5177474;75.9422585;77.2917089;73.8674273;76.013065;29.8;27.56;24.95;23.26;29.8;24.95;29.8;0.210207654;0.223660637;0.215675196;0.223455668;0.218052596;0.219870254;0.218940762;0.092733754;0.112298329;0.094568799;0.099141122;0.101871946;0.096511355;0.099518383;1.0457;1.0135;0.9721;1.0079;0.9521;0.9316;0.8987;3.8496;;2.0428;4.376;7.5512;4.279;7.6159;1.56;1.79;1.17;1.49;6.68;1.57;1.46
DL;6.973482322;6.631617375;6.323656691;5.893137977;6.802549848;6.108397334;6.444149935;61.230024;59.7559335;65.733159;73.9072599;60.6045735;69.7829955;65.3272363;26.56;29.79;24.43;25.84;29.79;25.84;29.79;0.255324248;0.268643362;0.242431588;0.226120641;0.263456743;0.236063699;0.249666925;0.128515253;0.143961612;0.120826343;0.11101868;0.136571693;0.116691143;0.125899961;0.988;0.9235;0.939;0.977;0.8834;0.8973;0.8514;1.8331;1.9728;3.0723;;1.8817;9.8976;9.3691;1.1;1.06;1.37;2.37;1.01;2.25;2.31
DL;7.275546129;6.632846143;6.826193821;6.928734767;6.954196136;6.877462457;6.915932836;62.384719;66.9481889;70.1275513;68.7042874;64.7288903;69.4136707;67.0825998;27.47;26.27;27.49;28.93;27.47;28.93;28.93;0.247936143;0.238733327;0.215319305;0.218347504;0.243363031;0.218407827;0.232714961;0.125142025;0.117942351;0.103088136;0.098704591;0.122278388;0.101314937;0.111532291;0.9232;1.0687;0.9745;1.016;0.9252;0.9339;0.8799;1.7447;1.8717;2.6239;2.1482;1.831;2.6156;2.5192;1.05;1.19;1.23;1.18;1.05;1.17;1.15
DL;6.875272806;5.779950725;5.506543773;5.843709271;6.327631608;5.675126522;5.991071172;52.8481029;71.6407768;82.4875971;68.2964678;62.1658738;75.3951808;68.9047423;21.99;25.17;30.3;29.7;25.17;30.3;30.3;0.314459087;0.258355731;0.236918074;0.28144245;0.285429585;0.260423067;0.273111323;0.17010932;0.111601481;0.11083012;0.137273717;0.1368631;0.123329895;0.13185426;0.8298;1.0619;0.9576;0.9946;0.9173;0.9111;0.877;1.6843;2.6359;5.3045;6.3962;2.5621;6.1511;5.911;0.93;1.36;1.28;2.05;1.21;1.58;1.68
A;6.610133324;7.304836606;7.271596583;6.564496026;6.957484965;6.918058011;6.93688511;73.7896034;66.2553484;66.889228;78.666482;70.0119026;72.68786;71.4152023;28.58;28.33;28.09;27.61;28.58;28.09;28.58;0.225257699;0.232046724;0.245694323;0.211604993;0.22967147;0.229982924;0.229832207;0.098905971;0.113266778;0.122147308;0.08608656;0.105814302;0.102294994;0.104141391;1.1047;1.0012;0.9674;1.0297;0.9854;0.9404;0.9189;;3.121;3.2938;1.9504;8.4525;3.2203;8.3704;1.95;1.43;1.43;1.22;2.02;1.41;1.36
A;7.66340119;6.705757293;6.178903406;5.204412373;7.184579242;5.691657889;6.411046733;61.4951939;70.1786794;68.9986474;90.1040145;65.8843781;79.1996691;72.963962;25;27.95;23.79;24.43;27.95;24.43;27.95;0.252269482;0.233679508;0.2349894;0.194731832;0.243943321;0.213776225;0.227977299;0.128832523;0.111426404;0.11176917;0.082641606;0.119546448;0.097224333;0.106859434;1.0539;1.0629;0.9927;1.0161;0.9996;0.9345;0.9291;2.0336;;5.1718;7.1287;7.3253;6.8457;7.9338;1.16;2.04;1.71;1.81;2.19;2;2.27
A;7.984414497;7.248574266;6.722560484;6.76248179;7.61650743;6.742521137;7.160573886;58.8313303;69.4940675;72.945839;73.702897;64.1250146;73.3273128;68.9162519;25.92;27.72;24.1;27.16;27.72;27.16;27.72;0.253421992;0.219797736;0.230915901;0.211179596;0.237053963;0.223528419;0.23062239;0.122412884;0.09579447;0.108624421;0.09046259;0.108376462;0.099710268;0.104252972;0.9397;0.9822;1.0324;0.9898;0.9078;0.9479;0.8927;1.9029;4.128;5.4111;6.8756;4.1601;6.9877;6.6575;1.07;1.64;1.88;1.95;1.56;2.05;2.01
A;7.522699577;7.252587651;6.880506215;6.581134643;7.387643614;6.730820429;7.048517317;62.0702125;56.5469453;65.7746298;69.6293326;59.5105069;67.6957986;63.726137;26.48;26.37;27.51;27.1;26.48;27.51;27.51;0.25387099;0.270530832;0.229948458;0.235611354;0.265085695;0.233537636;0.250017717;0.120845251;0.146205557;0.109529947;0.112577075;0.13374262;0.111424542;0.121971454;1.0258;1.0205;0.951;0.9976;0.954;0.9063;0.8844;1.9813;2.0388;;5.3643;2.3614;10.5601;9.8588;1.14;1.16;;1.72;1.18;9.27;1.44
DL;7.221855792;6.601801123;5.964012094;5.202116421;6.911828457;5.583064258;6.242816008;67.2107519;78.3238605;80.9125382;87.126924;72.6914853;84.1244953;78.6067076;30.29;30.17;26.39;28.81;30.29;28.81;30.29;0.217179941;0.196919612;0.201920521;0.19767763;0.208599583;0.201738074;0.203967173;0.100934291;0.08187852;0.089908209;0.087050377;0.091387279;0.087564734;0.089886772;0.9821;1.0707;1.0603;1.0616;0.9552;0.9922;0.9285;1.9208;2.3711;;7.2064;2.181;8.0454;7.4915;1.12;1.25;1.94;1.42;1.11;1.82;1.9
A;5.799681183;6.189192812;6.008302761;5.098960927;5.994436997;5.553646899;5.764132311;79.7095989;72.4407371;76.3993669;97.630658;76.0340592;86.6027313;81.472499;25.29;29.74;27.89;29.42;29.74;29.42;29.74;0.209162686;0.230737668;0.238803402;0.185167605;0.220976082;0.21132984;0.219447997;0.091042672;0.094782716;0.092493725;0.070197447;0.09425016;0.081084166;0.0878781;1.0828;1.0017;1.0161;0.9841;0.9641;0.9311;0.9075;2.6861;4.0152;2.1624;;4.3745;9.4757;9.2619;1.4;1.5;1.21;9.46;1.67;8.76;1.4
